tweet_text,tweet_ids
Thank you! https://t.co/579bfpa4TD,1342559171649167366
RT @DineshDSouza: The President and First Lady have released a Christmas message that all of America needs to see: https://t.co/Jb6swz7A6Q,1342558923656744960
Going now to make a short speech to service members from all over the world. It is a celebration of Christmas. Video Conference - Fake News not invited!,1342556287872233474
The greatest of all time. Fake News! https://t.co/jiWjLrynQW,1342555377951510528
"Made many calls and had meetings at Trump International in Palm Beach, Florida. Why would politicians not want to give people $2000, rather than only $600? It wasn’t their fault, it was China. Give our people the money!",1342554825465196544
MERRY CHRISTMAS!,1342463237841948672
"I saved at least 8 Republican Senators, including Mitch, from losing in the last Rigged (for President) Election. Now they (almost all) sit back and watch me fight against a crooked and vicious foe, the Radical Left Democrats. I will NEVER FORGET!",1342245390540804096
"Twitter is going wild with their flags, trying hard to suppress even the truth. Just shows how dangerous they are, purposely stifling free speech. Very dangerous for our Country. Does Congress know that this is how Communism starts? Cancel Culture at its worst. End Section 230!",1342243632833814528
"VOTER FRAUD IS NOT A CONSPIRACY THEORY, IT IS A FACT!!!",1342212651447967744
"Maria’s show and ratings are better than ever. They are trying to shame her into not telling the truth. Her audience would be gone, and she is far too smart for that. Rigged Election! https://t.co/g3AyaOx3dv",1342212340436135938
"At a meeting in Florida today, everyone was asking why aren’t the Republicans up in arms &amp; fighting over the fact that the Democrats stole the rigged presidential election? Especially in the Senate, they said, where you helped 8 Senators win their races. How quickly they forget!",1342209260026023940
"More than one million Americans have already received the China Virus Vaccine, a record pace!",1342206148649299969
https://t.co/ZrehVYMARl,1342202964904181762
Rush is the GREATEST! https://t.co/W0LhbM2bSt,1342184240088276992
https://t.co/KHMgb78b5c,1342100887137873922
https://t.co/GgwnkrGz9U,1342098544547794944
"RT @WhiteHouse: President @realDonaldTrump and @FLOTUS participated virtually in the lighting of the National Christmas Tree, decorated wit…",1341955213872275467
https://t.co/L3tOUDiT0G,1341948764068704256
https://t.co/zPh2ddB38K,1341948611131822083
RT @realDonaldTrump: I hope we never find life on other planets because there's no doubt that the U.S. Government will start sending them m…,1341907686913433608
"RT @Raiklin: America, @VP @Mike_Pence MUST do this, tomorrow! 

To defend our Constitution from our enemies:

Foreign: China, Russia, Iran…",1341906561682309122
"After seeing the massive Voter Fraud in the 2020 Presidential Election, I disagree with anyone that thinks a strong, fast, and fair Special Counsel is not needed, IMMEDIATELY. This was the most corrupt election in the history of our Country, and it must be closely examined!",1341885394124607488
"...Some friendly health advice to Iran: If one American is killed, I will hold Iran responsible. Think it over.",1341862955604975617
Our embassy in Baghdad got hit Sunday by several rockets. Three rockets failed to launch. Guess where they were from: IRAN. Now we hear chatter of additional attacks against Americans in Iraq... https://t.co/0OCL6IFp5M,1341862953637822468
They are slow walking the signature verification in Georgia. They don’t want results to get out prior to January 6th. They know what they are trying so hard to hide. Terrible people! @BrianKempGA,1341792832093364226
RT @realDonaldTrump: https://t.co/v9Rdjz6DNu,1341616174073860097
"Statement by Donald J. Trump, The President of the United States

Full Video: https://t.co/avKfYctPAD https://t.co/i8IMLhH53Q",1341565405509394440
"“@NewtGingrich Pens Op-Ed on Election Saying he will not Accept Joe Biden as President” @OANN  Newt Gingrich gets it, we are going to WIN! https://t.co/PBHZo2LLNu https://t.co/uG2HjCEo9G",1341553610996543494
https://t.co/WtIQLiq65y,1341551177146757121
"Republicans in the Senate so quickly forget. Right now they would be down 8 seats without my backing them in the last Election. RINO John Thune, “Mitch’s boy”, should just let it play out. South Dakota doesn’t like weakness. He will be primaried in 2022, political career over!!!",1341547750710800385
https://t.co/v9Rdjz6DNu,1341537886315950080
THE DEMOCRATS DUMPED HUNDREDS OF THOUSANDS OF BALLOTS IN THE SWING STATES LATE IN THE EVENING. IT WAS A RIGGED ELECTION!!!,1341405487057821698
"Distribution of both vaccines is going very smoothly. Amazing how many people are being vaccinated, record numbers. Our Country, and indeed the World, will soon see the great miracle of what the Trump Administration has accomplished. They said it couldn’t be done!!!",1341389598296059909
"RT @SenRonJohnson: We are holding an oversight hearing tomorrow to examine the irregularities in the 2020 election.

A large percentage of…",1341266789943177216
"RT @SenRonJohnson: So galling.

The purveyors of Russian disinformation have been the Democrats.

Today's hearing was about restoring confi…",1341266680828342274
"RT @SenRonJohnson: There is a lot more to the story of Wisconsin’s 2020 election and recount. 

3 million people in our state voted properl…",1341265476282945536
"RT @SenRonJohnson: What happened in Nevada? 

Here's the story from attorney @jbinnall who testified his whistleblower hotline never stoppe…",1341265409635475456
"“Conservatives Call on State Legislators to Appoint New Electors, in Accordance with the Constitution”
https://t.co/V2akcgvlHD",1341169419259531265
...Republicans in Wisconsin should take these 3 strong decisions to their State Legislators and overturn this ridiculous State Election. We won in a LANDSLIDE!,1341138409092509696
"...WOW, he just voted against me in a Big Court Decision on voter fraud (of which there was much!), despite many pages of dissent from three highly respected Justices. One thing has nothing to do with another, but we ended up losing 4-3 in a really incorrect ruling! Great...",1341138408274595843
"Two years ago, the great people of Wisconsin asked me to endorse a man named Brian Hagedorn for State Supreme Court Justice, when he was getting destroyed in the Polls against a tough Democrat Candidate who had no chance of losing. After my endorsement, Hagedorn easily won!...",1341138407460925440
"RT @SenRonJohnson: .@HawleyMO: ""After 4 years of being told the last election was fake, the same people are telling us if you have any conc…",1341083589853777920
"RT @SenRonJohnson: As @SenatorLankford pointed out, in 2016 Democrats were interested in fixing problems to prevent election interference.…",1341083558606233602
RT @SenRonJohnson: Democrats and the mainstream media didn’t complain when @senschumer contested @senrickscott’s election through the court…,1341083528533073926
"RT @SenRonJohnson: 2) And @senrobportman got Chris Krebs to acknowledge his claims about election security were about CYBER security, not f…",1341083345107755009
"RT @SenRonJohnson: My hearing examining irregularities in the 2020 election was important. 

Many issues and questions were raised that des…",1341083303777071106
"....@sendavidperdue will not be able to win on January 5th. unless these people allow Signature Verification in presidential race. K &amp; D need it for their race also, &amp; Georgia spirit will rise to such a high that they will easily bring home a great victory. Move fast @BrianKempGA",1341043285368909824
"Governor @BrianKempGA and his puppet @GeoffDuncanGA, together with the Secretary of State of Georgia, are very slow on Signature Verification, and won’t allow Fulton County to be examined. What are these RINOS hiding? We will easily win Presidential State race. @KLoeffler and....",1341043284542713857
Big news coming out of Pennsylvania. Very big illegal ballot drop that cannot be accounted for. Rigged Election!,1340996686257254403
RT @KMCRadio: Biden supporters seem to be really losing their minds at how angry they get when you tell them that Biden “won” only 16% of t…,1340996088443105282
"RT @KMCRadio: DIIVIDED NATION: 🚨🚨

America is 50 states.
Minus the states in question Trump won 25, Biden won 16.

Those states house 2974…",1340995938937163776
“The President was responsible for those direct payments to Americans in the Covid-19 Relief Bill.” @kilmeade @foxandfriends And the Moderna vaccine has already started rolling out. Very smooth distribution!,1340988270243700739
https://t.co/8S0ePCOCOG,1340739574264434690
RT @gatewaypundit: REVEALED: 'Simple Math' Shows Biden Claims 13 MILLION More Votes Than There Were Eligible Voters Who Voted in 2020 Elect…,1340717841964818433
RT @gatewaypundit: MUST-SEE VIDEO: Voter Fraud Occurred in Arizona - The State Certified Fraudulent Results (VIDEO) via @gatewaypundit http…,1340717540000083970
RT @FlooritHammer: @tracybeanz @Soma4M @MichSoS @gatewaypundit The Plot to Steal America https://t.co/ve3TtqIZJr via @YouTube,1340717162315599873
RT @Wordofbeak: @MichSoS @gatewaypundit https://t.co/eQifzggidI,1340717113380618242
Wow! https://t.co/gAttnzPa5d,1340716395286413315
"RT @gatewaypundit: VIDEO--&gt; MI Sec of State Official Caught On Video Telling Volunteers To Count ""Multiple Ballots with the very Same Signa…",1340715967182204930
RT @Rothbard1776: YouTube apparently took down Mr. @jbinnall’s opening statement in front of the Senate Homeland Security Committee last we…,1340715708632731650
"RT @iheartmindy: Votes were changed overnight using USBs in Nevada, of course the fake news media doesn’t want to report on it because it p…",1340701929085820934
Cute! https://t.co/bMkuaxd7lL,1340701616010375171
RT @KanekoaTheGreat: 9/ VIDEO: [Part Three] https://t.co/9RNrN7tXj8,1340701254817869826
RT @EmeraldRobinson: The corporate media is caught in their own contradictions: they keep insisting that there’s no fraud in the 2020 elect…,1340700258712625152
"RT @lawindsor: BREAKING: Defying McConnell, Sen-elect Tuberville suggests he will challenge Electoral College, while stumping in Georgia ht…",1340696881651965954
David is a great guy and patriot. Thank you Lauren! https://t.co/p69H8F52r5,1340696207560220678
RT @gatewaypundit: FYI - We are reporting irregularities in ballot counting in pivotal swing states.  Do not be surprised if the tech gods…,1340694463442784257
GREATEST ELECTION FRAUD IN THE HISTORY OF OUR COUNTRY!!!,1340529063799246848
"Why isn’t Congress giving our people a Stimulus Bill? It wasn’t their fault, it was the fault of China. GET IT DONE, and give them more money in direct payments.",1340527057151930369
Martial law = Fake News. Just more knowingly bad reporting!,1340523944680583169
"What would Bolton, one of the dumbest people in Washington, know? Wasn’t he the person who so stupidly said, on television, “Libyan solution”, when describing what the U.S. was going to do for North Korea? I’ve got plenty of other Bolton “stupid stories”.",1340523358551732233
"As badly as we were treated in Georgia by the “Republican” Governor and “Republican” Secretary of State, we must have a massive victory for two great people, @KLoeffler &amp; @sendavidperdue, on January 5th. I will be having a big Rally for them on Monday night, January 4th. WIN!",1340520653653458949
https://t.co/nosN75WVxt,1340517052705091586
